time_s,linear_mps,angular_radps
45.724696875,0.26388752452204617,-0.13019659480736223
45.775449753,0.2603278897632443,-0.12885238176568325
45.825335741,0.25876230771395764,-0.09351618000194284
45.874923706,0.2570686267992264,-0.055361224439317014
45.925437212,0.2695686267992264,0.004638775560682984
45.974750996,0.2820686267992264,0.06463877556068298
46.024950505,0.2945686267992264,0.12463877556068298
46.074912072,0.2620686267992264,0.06463877556068298
46.124755144,0.24836282630538128,0.011775861918340791
46.184133768,0.26086282630538127,0.07177586191834079
46.224680901,0.2733628263053813,0.1317758619183408
46.274981022,0.2858628263053813,0.19177586191834078
46.32484746,0.2983628263053813,0.2517758619183408
46.374710083,0.3108628263053813,0.3062342326322922
46.424974442,0.321182439229324,0.33741280454039657
46.475436926,0.3239020624276814,0.2774128045403966
46.524982453,0.32255601025027747,0.2911821420969454
46.575095892,0.3211128706700388,0.31710958371713205
46.624891281000004,0.31811173562268014,0.34107758046537284
46.674732447,0.32183446200787946,0.28107758046537284
46.724860907,0.3208798134212523,0.2968359674814611
46.774753094,0.31965120290158155,0.31897632674659626
46.824864865,0.31838734930318924,0.34172984432634546
46.874885798,0.28588734930318926,0.28172984432634546
46.930478096,0.2533873493031893,0.22172984432634546
46.974675656,0.23917302153539113,0.16172984432634546
47.025038004,0.23837070882707087,0.10172984432634546
47.075018883,0.23730719262353295,0.12224041699939947
47.124639035,0.23616850632049916,0.14841928999420906
47.184026003,0.24866850632049917,0.20841928999420906
47.224631548,0.26116850632049915,0.26841928999420905
47.274756909,0.27366850632049916,0.32841928999420905
47.324821473,0.28616850632049917,0.38841928999420905
47.375071764,0.2986685063204992,0.41635859743915427
47.42577529,0.3111685063204992,0.35635859743915427
47.474747658,0.31540289337855243,0.35495722293420084
47.525195837,0.31477879241867773,0.3704130393833017
47.574825049,0.31382033826246974,0.3877136329694212
47.624724388,0.31820747692750856,0.3277136329694212
47.674909115,0.31887167244556885,0.32497044289192767
47.724683047,0.3180970257987817,0.3389303486655971
47.774790049,0.3171877870542694,0.35530491208572157
47.825095654,0.28468778705426945,0.29530491208572157
47.874875546,0.2521877870542695,0.23530491208572157
47.925557852,0.2403563558318901,0.17530491208572158
47.974890471,0.2528563558318901,0.23530491208572157
48.024677039,0.2653563558318901,0.29530491208572157
48.074855805,0.2778563558318901,0.35530491208572157
48.124825478,0.2903563558318901,0.29530491208572157
48.18321395,0.30285635583189013,0.2891076027330266
48.22484231,0.31535635583189014,0.30098993317828715
48.274710894,0.3233878109532322,0.31334247898174283
48.324841977,0.3300512663484153,0.25334247898174284
48.374741316,0.3295294544723125,0.2388432686484967
48.424908638,0.3295794336766245,0.2509153821299426
48.474719763,0.32884171494740183,0.2640478383755991
48.524683953,0.32799230750727454,0.27915988682661763
48.575032711,0.33502999162289954,0.21915988682661763
48.624645472,0.334490206566811,0.2026055592889472
48.674934864,0.30199020656681097,0.1426055592889472
48.72464037,0.269490206566811,0.0826055592889472
48.77475977,0.2540069908600527,0.022605559288947197
48.824820996,0.25486877558572985,-0.0373944407110528
48.875231266,0.25427800432902536,-0.05260849760163522
48.925619126,0.25363536559622113,-0.0380487757832797
48.97505951,0.26613536559622114,0.0219512242167203
49.024827242,0.27863536559622115,0.0819512242167203
49.075219632,0.29113536559622116,0.1419512242167203
49.125075341,0.25863536559622113,0.0819512242167203
49.182418824,0.2549722363183379,0.0219512242167203
49.224733115,0.2585712510638671,-0.0380487757832797
49.274942398,0.25924265914849476,-0.0980487757832797
49.324720383,0.2587458287921904,-0.10579694077284252
49.374658347,0.25797357947011823,-0.08835298007890147
49.424840927,0.27047357947011824,-0.02835298007890147
49.47514534,0.28297357947011825,0.03164701992109853
49.524688244000004,0.29547357947011826,0.09164701992109853
49.574832917,0.26297357947011823,0.03164701992109853
49.624688864,0.25871478125682057,-0.02835298007890147
49.675118208,0.2631030931416462,0.03164701992109853
49.724707842,0.26257074108893114,0.05777285795476628
49.774940253,0.2621073254493903,-0.002227142045233721
49.824883223,0.26150948044622785,-0.06222714204523372
49.874769926,0.264829741710558,-0.002227142045233721
49.92520094,0.26517468440054853,0.022053768068615143
49.974680424,0.2645923632726465,0.035646165299007326
50.02471757,0.26397002444441386,0.050165739203719806
50.075087309,0.2633582538543562,-0.009834260796280192
50.125121355,0.26675156305859243,-0.014705323128374803
50.181973696,0.2671176232814835,-0.00020511237655140846
50.22468853,0.266552341216578,0.012960632685965257
50.275238276,0.26591709070572545,0.02774911043049022
50.324884892,0.2698989361982354,-0.03225088956950978
50.374703884,0.26942608688702796,-0.03400513271932504
50.424722672,0.26895678242603077,-0.023090037316579992
50.474920988,0.2684393632368372,-0.008965942259058224
50.524677754,0.2714863432239176,-0.06896594225905822
50.574964285,0.2717479651321147,-0.06684769323306794
50.624747038,0.27123719051406303,-0.05498765999246491
50.674793244,0.27060775247983404,-0.0403784372611663
50.725094557,0.26971570388116617,-0.024526663269102023
50.774682522,0.2727220615447154,-0.08452666326910202
50.824653387,0.2721403042463822,-0.08084514892206829
50.874854565,0.27196391068213827,-0.06461928125243221
50.924723626,0.27125490695737886,-0.048173902164573734
50.975083828,0.27455701955780054,-0.10817390216457373
51.024671078,0.27396574275737895,-0.09907108236185269
51.07470274,0.2732844762317146,-0.08327584563202406
51.124853134,0.272113325008837,-0.06770645912443907
51.18544674,0.2747761455436109,-0.12770645912443906
51.224652529,0.2741544143361257,-0.11509928014657034
51.275662899,0.2737890860308944,-0.10000785853199123
51.324679852,0.2731237441839145,-0.08457147679541144
51.375158787,0.2760071404501068,-0.14228861880595756
51.424869061,0.2753310037498987,-0.12659973935377522
51.474759817,0.2745840505971796,-0.10927634748023307
51.524860859,0.272983091414769,-0.09214326458817679
51.574693203,0.2721996455808835,-0.07394706194213674
51.624705553,0.27466543813559313,-0.13125189335183107
51.674861908,0.2739888200534795,-0.11559976021581286
51.724703312,0.27330235185615276,-0.09964361702945734
51.774811268,0.27249190910105714,-0.08081597605461355
51.825290442,0.27471104039268934,-0.13470895659808635
51.875003815,0.27399205377569974,-0.11798248571991599
51.92484355,0.27274319349319565,-0.10190444003164045
51.974710942,0.27191151234833794,-0.08254487747322414
52.024828196,0.2740810890037688,-0.13307183694187874
52.075109959,0.2730540933387037,-0.11630987360201639
52.124684573,0.2722824467115172,-0.09832308548938562
52.185694218,0.27081703879729885,-0.0798493658348064
52.225118399,0.2728689443953349,-0.1277684338453322
52.274891377,0.2721070466971065,-0.1099671566427809
52.325018406,0.26930273591933057,-0.09626303344459952
52.374750615,0.26845580154719173,-0.07636482888117035
52.424924851,0.28095580154719174,-0.016364828881170357
52.47469616,0.29345580154719175,0.04363517111882964
52.524679423,0.30595580154719176,-0.016364828881170357
52.574798823,0.27345580154719173,-0.07636482888117035
52.624702692,0.26674157080145267,-0.1274898001293524
52.675471545,0.2792415708014527,-0.0674898001293524
52.724784375,0.2917415708014527,-0.09703827830413037
52.774972439,0.3042415708014527,-0.07695262736556274
52.824839592000004,0.3167415708014527,-0.016952627365562745
52.874945164,0.3292415708014527,0.04304737263443725
52.926583529,0.34057428380057037,0.06934490560692752
52.974912405,0.33765078169036467,0.009344905606927523
53.024691582,0.3401669883866017,0.036476443304269246
53.074952364,0.3393134094407347,0.05268416823182587
53.124850035,0.32874656870202795,0.05537367513300373
53.184437752,0.3278539830777368,0.07276449170586041
53.22482872,0.3205742123035223,0.012764491705860415
53.274640322,0.3198236528757082,0.024091726907328415
53.324768782,0.3190287366183378,0.040017669895196395
53.375067711,0.31586330076830993,0.05345200619183865
53.426582098,0.31819229768726653,0.006482282866874467
53.475079775,0.3062687481567636,0.0022904640771015394
53.52467537,0.3055117298340122,0.018065418067780725
53.574731112,0.3046267531712898,0.03649810423081812
